Trans,s11a,s22a,s33a,s11m,s22m,s33m,t12a,t13a,t23a,t12m,t13m,t23m,fi11,fi22,fi33,fi12,fi13,fi23,Testing,mat,matgr,Rm,Re,f-1,f0,b-1,b0,rb-1,t-1,t0,Nx,s11aW,s22aW,s33aW,t12aW,t13aW,t23aW,gramW
Native,498.8814381,0,0,0,0,0,166.2938127,0,0,0,0,0,0,0,0,0,0,0,Ten+To,42CrMo4,S,1100,980,488.2321628,617.2125245,0,0,0,403.8403931,625.6107654,200000,498.8814381,0,0,166.2938127,0,0,0.6618
Native,449.5951629,0,0,0,0,0,259.5738882,0,0,0,0,0,0,0,0,0,0,0,Ten+To,42CrMo4,S,1100,980,488.2321628,617.2125245,0,0,0,403.8403931,625.6107654,200000,449.5951629,0,0,259.5738882,0,0,0.6618
Native,279.6949946,0,0,0,0,0,279.6949946,0,0,0,0,0,0,0,0,0,0,0,Ten+To,42CrMo4,S,1100,980,488.2321628,617.2125245,0,0,0,403.8403931,625.6107654,200000,279.6949946,0,0,279.6949946,0,0,0.6618
Native,481.6415974,0,0,0,0,0,278.0759058,0,0,0,0,0,0,0,0,90,0,0,Ten+To,42CrMo4,S,1100,980,488.2321628,617.2125245,0,0,0,403.8403931,625.6107654,200000,481.6415974,0,0,278.0759058,0,0,0.6618
Native,282.5483056,0,0,245.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ten,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,332.2631743,0,0,0,0,0,0.74058
Native,209.690596,0,0,451.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ten,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,282.4202979,0,0,0,0,0,0.74058
Native,333.4531799,0,0,0,0,0,0,0,0,156.9,0,0,0,0,0,0,0,0,Ten+To,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,333.4531799,0,0,0,0,0,0.74058
Native,331.627053,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,Ten+To,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,331.627053,0,0,0,0,0,0.74058
Native,262.7660823,0,0,262.7660823,0,0,0,0,0,171.6,0,0,0,0,0,0,0,0,Ten+To,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,314.5303132,0,0,0,0,0,0.74058
Native,0,0,0,-549.2,0,0,281.9029506,0,0,0,0,0,0,0,0,0,0,0,To+Ten,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,0,0,0,281.9029506,0,0,0.74058
Native,0,0,0,-274.6,0,0,259.8602736,0,0,0,0,0,0,0,0,0,0,0,To+Ten,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,0,0,0,259.8602736,0,0,0.74058
Native,0,0,0,294.2,0,0,186.6485082,0,0,0,0,0,0,0,0,0,0,0,To+Ten,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,0,0,0,186.6485082,0,0,0.74058
Native,0,0,0,441.3,0,0,163.4950278,0,0,0,0,0,0,0,0,0,0,0,To+Ten,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,0,0,0,163.4950278,0,0,0.74058
Native,0,0,0,588.4,0,0,155.2552062,0,0,0,0,0,0,0,0,0,0,0,To+Ten,Ck35,S,706.1,539,342.0913039,540.5233146,0,0,0,230.0213501,430.3181727,100000,0,0,0,155.2552062,0,0,0.74058
Native,363.7564741,0,0,313.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ten,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,438.0097507,0,0,0,0,0,0.70136
Native,309.3177681,0,0,490.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ten,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,410.7590765,0,0,0,0,0,0.70136
Native,413.6085219,0,0,0,0,0,0,0,0,107.9,0,0,0,0,0,0,0,0,Ten+To,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,413.6085219,0,0,0,0,0,0.70136
Native,389.1132679,0,0,0,0,0,0,0,0,215.7,0,0,0,0,0,0,0,0,Ten+To,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,389.1132679,0,0,0,0,0,0.70136
Native,379.9396284,0,0,0,0,0,0,0,0,323.6,0,0,0,0,0,0,0,0,Ten+To,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,379.9396284,0,0,0,0,0,0.70136
Native,363.3969137,0,0,0,0,0,0,0,0,431.5,0,0,0,0,0,0,0,0,Ten+To,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,363.3969137,0,0,0,0,0,0.70136
Native,353.1516039,0,0,0,0,0,0,0,0,647.2,0,0,0,0,0,0,0,0,Ten+To,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,353.1516039,0,0,0,0,0,0.70136
Native,336.3902746,0,0,336.3902746,0,0,0,0,0,196.1,0,0,0,0,0,0,0,0,Ten+To,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,413.754785,0,0,0,0,0,0.70136
Native,306.071718,0,0,306.071718,0,0,0,0,0,490.3,0,0,0,0,0,0,0,0,Ten+To,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,376.4634338,0,0,0,0,0,0.70136
Native,0,0,0,0,0,0,287.0873726,0,0,287.0873726,0,0,0,0,0,0,0,0,To,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,0,0,0,353.1129853,0,0,0.70136
Native,0,0,0,-549.2,0,0,398.1531108,0,0,0,0,0,0,0,0,0,0,0,To+Ten,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,0,0,0,398.1531108,0,0,0.70136
Native,0,0,0,-181.4,0,0,325.4747518,0,0,0,0,0,0,0,0,0,0,0,To+Ten,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,0,0,0,325.4747518,0,0,0.70136
Native,0,0,0,181.4,0,0,319.9007785,0,0,0,0,0,0,0,0,0,0,0,To+Ten,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,0,0,0,319.9007785,0,0,0.70136
Native,0,0,0,353,0,0,297.8505822,0,0,0,0,0,0,0,0,0,0,0,To+Ten,34CrMo4,S,902.2,706,430.6795598,683.6828586,0,0,0,318.6489236,574.1747452,200000,0,0,0,297.8505822,0,0,0.70136
